Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
Izu-Oshima,Japon,Asie,Mihara-yama,1,1967,Historical Observations;
Ruapehu,Nouvelle-Zélande,Océanie,,1,1967,Historical Observations;
Taal,Philippines,Asie,SW flank (near Mt. Tabaro),1,1967,Historical Observations;
Ebeko,Russie,Europe,Northern crater,1,1967,Historical Observations;
Karymsky,Russie,Europe,,1,1967,Historical Observations;
Klyuchevskoy,Russie,Europe,,1,1967,Historical Observations;
Poas,Costa Rica,Amérique du Nord,,1,1968,Historical Observations;
Kelimutu,Indonésie,Asie,Tiwu Nua Muri,1,1968,Historical Observations;
Nila,Indonésie,Asie,East flank,1,1968,Historical Observations;
Talang,Indonésie,Asie,NE flank,1,1968,Historical Observations;
Soputan,Indonésie,Asie,,1,1968,Historical Observations;
Io-Torishima,Japon,Asie,,1,1968,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1968,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1968,Historical Observations;
Etorofu-Yakeyama [Grozny Group],Russie,Europe,Ivan Grozny,1,1968,Historical Observations;
Tolbachik,Russie,Europe,,1,1968,Historical Observations;
Lascar,Chili,Amérique du Sud,,1,1969,Historical Observations;
Tangkubanparahu,Indonésie,Asie,Kawah Ecoma,1,1969,Historical Observations;
Ioto,Japon,Asie,West side (Asodai),1,1969,Historical Observations;
Ioto,Japon,Asie,,1,1969,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1969,Historical Observations;
Negro, Cerro,Nicaragua,Amérique du Nord,,1,1969,Historical Observations;
Ebeko,Russie,Europe,Northern crater,1,1969,Historical Observations;
Poas,Costa Rica,Amérique du Nord,,1,1970,Historical Observations;
Rincon de la Vieja,Costa Rica,Amérique du Nord,,1,1970,Historical Observations;
Batur,Indonésie,Asie,SW flank (1963 vent),1,1970,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1970,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1970,Historical Observations;
Ruapehu,Nouvelle-Zélande,Océanie,,1,1970,Historical Observations;
Kanlaon,Philippines,Asie,,1,1970,Historical Observations;
Taal,Philippines,Asie,SW flank (near Mt. Tabaro),1,1970,Historical Observations;
Etorofu-Yakeyama [Grozny Group],Russie,Europe,Ivan Grozny,1,1970,Historical Observations;
Tolbachik,Russie,Europe,,1,1970,Historical Observations;
San Miguel,Salvador,Amérique du Nord,,1,1970,Historical Observations;
Augustine,Alaska,Amérique du Nord,,1,1971,Historical Observations;
Batur,Indonésie,Asie,,1,1971,Historical Observations;
Raung,Indonésie,Asie,,1,1971,Historical Observations;
Soputan,Indonésie,Asie,,1,1971,Historical Observations;
Izu-Oshima,Japon,Asie,Mihara-yama,1,1971,Historical Observations;
"Kirishimayama,Japon,Asie,""North foot, near Tearai hot springs"",1,1971,Historical Observations";
